EWA,EWC,EWG,EWH,EWI,EWJ,EWL,EWM,EWP,EWU,EWW,EWY,EWZ,EZA,FEZ,FXI,IGV,IWM,QQQ,RSX,SMH,SPY
-55.660000000000004,-56.15,-38.150000000000006,-9.210000000000008,-39.400000000000006,-9.910000000000004,-34.89,-32.949999999999996,-46.099999999999994,-29.759999999999998,-32.269999999999996,-29.680000000000007,-80.74,-44.36,-28.200000000000003,-24.14,-42.75999999999999,-31.299999999999997,-22.39,-41.47,-37.11,-26.070000000000007
-38.82000000000001,-43.959999999999994,-20.130000000000003,-6.420000000000002,-13.670000000000002,4.619999999999997,-23.309999999999995,-18.200000000000003,-25.120000000000005,-16.14,-21.180000000000007,-15.849999999999994,-66.05,-28.459999999999994,-17.879999999999995,-12.659999999999997,-35.150000000000006,-24.89,-18.41000000000001,-33.290000000000006,-29.61,-22.409999999999997
-37.089999999999996,-43.879999999999995,-23.479999999999997,-9.18,-8.999999999999993,3.4100000000000037,-20.810000000000002,-16.450000000000003,-23.480000000000004,-23.310000000000002,-30.239999999999995,-23.430000000000007,-55.65000000000002,-28.819999999999993,-17.86,-19.04,-33.35999999999999,-30.460000000000008,-20.870000000000005,-31.120000000000005,-34.31,-24.64
-27.68,-39.86,-15.030000000000001,-2.509999999999998,8.660000000000004,9.100000000000001,-13.330000000000005,-3.769999999999996,-16.639999999999993,-20.970000000000006,-17.200000000000003,-9.470000000000006,-34.56,-19.409999999999997,-12.32,-9.870000000000005,-24.229999999999997,-23.810000000000002,-15.819999999999993,-30.75,-24.009999999999998,-17.700000000000003
-16.809999999999988,-30.290000000000006,-9.619999999999997,9.730000000000004,13.549999999999997,11.270000000000003,-5.710000000000001,3.8000000000000043,-6.359999999999999,-10.79,-9.019999999999996,5.489999999999995,-21.02000000000001,-12.489999999999995,-0.9099999999999966,3.4299999999999997,-9.499999999999993,-8.560000000000002,-1.8300000000000054,-27.88000000000001,-8.590000000000003,-6.969999999999999
-12.89,-28.769999999999996,-8.549999999999997,4.420000000000002,11.540000000000006,2.4299999999999997,-10.18,7.989999999999995,-2.6100000000000065,-17.11,-6.180000000000007,-0.3100000000000023,-13.280000000000001,1.1299999999999955,-3.1599999999999966,-3.0600000000000023,-10.229999999999997,-13.780000000000001,-9.760000000000005,2.260000000000005,-11.86,-15.509999999999991
-10.549999999999997,-27.060000000000002,-10.439999999999998,3.789999999999999,2.1400000000000006,4.890000000000001,-11.14,19.220000000000006,-5.539999999999999,-17.479999999999997,-10.61999999999999,-3.990000000000002,1.7099999999999937,1.8900000000000006,-8.869999999999997,-5.93,-8.270000000000003,-8.920000000000002,-12.43,13.18,-12.209999999999994,-17.33
-13.550000000000004,-30.229999999999997,-12.370000000000005,-1.759999999999998,2.019999999999996,-1.1599999999999966,-8.440000000000005,8.870000000000005,-12.219999999999999,-20.0,-16.97,-11.879999999999995,-4.320000000000007,-3.6599999999999966,-11.379999999999995,-9.86,-12.809999999999995,-16.79,-14.119999999999997,-0.8500000000000014,-16.910000000000004,-18.65
-19.22,-26.040000000000006,-7.660000000000004,-5.839999999999996,3.210000000000001,-1.7399999999999949,-2.5600000000000023,24.569999999999993,-8.090000000000003,-13.469999999999999,-12.389999999999993,-12.839999999999996,-9.36,-1.2099999999999937,-7.479999999999997,-8.620000000000005,-14.209999999999994,-15.230000000000004,-14.799999999999997,-0.6600000000000037,-18.000000000000007,-19.990000000000002
-9.059999999999995,-14.259999999999998,-4.5,-1.5900000000000034,0.3200000000000003,-0.3200000000000003,-3.770000000000003,9.730000000000004,-3.019999999999996,-8.68,-16.35000000000001,-3.539999999999999,-9.329999999999998,-10.650000000000006,-6.82,-6.480000000000004,-12.86,-5.329999999999998,-11.239999999999995,1.5500000000000043,-13.260000000000005,-16.119999999999997
-5.230000000000004,-4.509999999999998,-0.5899999999999963,-1.8200000000000003,5.369999999999997,0.6799999999999997,3.450000000000003,26.349999999999994,-5.5,-5.759999999999998,-5.690000000000005,-3.280000000000001,0.3400000000000034,2.3800000000000026,-1.480000000000004,-5.6200000000000045,-11.899999999999999,-1.2000000000000028,-10.990000000000002,4.200000000000003,-7.960000000000001,-16.240000000000002
2.259999999999998,-2.3000000000000043,7.030000000000001,3.1300000000000026,12.25,1.1900000000000048,10.77,24.14,9.770000000000003,-1.5,1.0899999999999963,4.579999999999998,7.310000000000002,9.020000000000003,2.8400000000000034,-2.3200000000000003,-2.4200000000000017,2.239999999999995,-5.43,1.5399999999999991,-5.710000000000001,-11.630000000000003
-10.979999999999997,-8.719999999999999,0.7099999999999937,2.5199999999999996,9.0,-1.7100000000000009,4.810000000000002,6.329999999999998,42.629999999999995,-0.5999999999999943,1.4399999999999977,1.3200000000000003,8.269999999999996,0.8100000000000023,-0.7800000000000011,-1.740000000000002,-8.170000000000002,-2.440000000000005,-6.740000000000002,2.780000000000001,-11.879999999999995,-14.280000000000001
-1.0399999999999991,-1.0500000000000043,1.990000000000002,6.060000000000002,11.369999999999997,-1.1700000000000017,9.350000000000001,3.3999999999999986,10.020000000000003,3.469999999999999,5.07,8.670000000000002,8.710000000000008,1.5700000000000003,8.009999999999998,2.2200000000000024,-5.630000000000003,1.8500000000000014,-4.670000000000002,7.200000000000003,-6.609999999999999,-10.420000000000002
